ID	Valid	Case	MassFlowPerTube	InnerRadius(m)	PressureDrop(Pa)	OutletTemperature(K)	HeatTransferBalance_Inlet/Outlet(W)	HeatTransferPerAreaMean(W/m2)	HeatTransferPerAreaSTD(W/m2)	HeatTransferPerAreaVAR(W/m2)	HeatTransferMean(W)	HeatTransferSTD(W)	HeatTransferVAR(W)	Continuity	SolvingStatus
69	-1	a-line	0.030	0.063	1.988099172336785	1190.4239059460756	-70986.7811484084	37993.43121878159	949.8348271328523	902186.1988344954	17425.99645966851	435.64947467658186	189790.46478598172	1.229423e-02	converged
70	1	a-line	0.030	0.063	1.138140113427653	1280.5523194189964	-75547.60628924373	47171.07620653881	1284.2461932696851	1649288.2849276774	21635.745917018696	589.0394404151768	346967.4623646246	1.030550e-02	converged
71	1	a-line	0.030	0.063	1.0870972494158195	1272.3519642073456	-108376.55927930409	47250.903640178294	897.5123846951453	805528.4806811665	21672.310641984943	411.657041614793	169461.5199110434	3.952115e-05	converged
72	1	a-line	0.030	0.063	1.124972281511873	1273.2232306281978	-108091.7562774457	47125.980196706056	853.7916502869068	728960.1820996398	21615.012697081827	391.6038941701122	153353.60992919642	3.580290e-05	converged
73	1	a-line	0.035	0.063	1.7292844699986745	1322.258680079376	-109376.8446724361	47679.17594337369	2063.618669488126	4258522.013059945	21868.743930645178	946.5085618747225	895878.4577021555	8.952939e-04	converged
74	1	a-line	0.035	0.063	1.702916248337715	1316.4819954701404	-111182.81298146583	48474.60684939479	1595.9808364775483	2547154.830403575	22233.579825018773	732.0197033731474	535852.8461265108	1.023938e-03	converged
75	1	a-line	0.035	0.063	1.622960586217232	1319.225390883726	-64198.61645114425	48781.337787772885	1548.8432576757575	2398915.4368476532	22374.317372945905	710.400988979662	504669.5651432818	1.363643e-02	converged
76	1	a-line	0.035	0.063	1.7531284825672628	1317.7302017625898	-52365.97588299046	49186.01811534136	1435.1385420766417	2059622.6349538686	22559.93028341993	658.2485571483826	433291.16298792756	1.980500e-02	converged
77	1	a-line	0.035	0.063	1.6140095565351658	1307.3876515869608	-114011.59512673691	49703.627013590565	964.8300222575295	930896.971849465	22797.287706386473	442.5332501217755	195835.6774633419	1.058165e-03	converged
78	1	a-line	0.035	0.063	1.6000698769494193	1306.2949156112068	-114373.11359028268	49851.560886197156	898.1488439859877	806671.345953366	22865.139717556805	411.9489628776628	169701.94801598196	1.428601e-03	converged
79	1	a-line	0.035	0.063	1.586477458025911	1305.381765261573	-114636.2351038759	49973.5621195996	828.1641504425091	685855.860078163	22921.09734852908	379.8494705545451	144285.62028056826	1.164190e-03	converged
80	1	a-line	0.035	0.063	1.554856794362422	1303.6810173436324	-115141.69184484854	50195.20830256617	728.602279763149	530861.282076058	23022.758577411427	334.18397797704955	111678.93113656512	1.151828e-03	converged
81	-3	a-line	0.035	0.063	2.687157e+00	1.224328e+03	-89777.95111426504	41959.54830002902	536.1182445664673	287422.7721570304	19245.088339479436	245.894996690316	60464.349397330516	7.505634e-03	converged
82	1	a-line	0.035	0.063	1.6779353991296375	1308.6428518572689	-56257.25489984616	50736.08312102601	1234.0574672198475	1522897.8324010652	23270.89164607814	566.0196025815288	320378.1905065519	2.353802e-02	converged
83	1	a-line	0.035	0.063	1.4330909723648801	1298.3927733614187	-116556.63752617824	50817.19183929991	671.9792145365111	451556.06476910645	23308.04032619965	308.2129898148372	94995.24709060095	3.497054e-05	converged
84	1	a-line	0.035	0.063	1.4892097286792705	1299.040696073779	-116293.7339331189	50701.48982973483	596.4884314059283	355798.4488011048	23254.971925385737	273.58804983333664	74850.4210116083	3.585822e-05	converged
85	1	a-line	0.005	0.063	0.31429467622365337	1118.9042113700316	-81755.74097673279	12965.61559629235	5294.786604601767	2.8034765188270308E7	5946.8807425731475	2428.5360198357785	5897787.199639806	4.386566e-03	converged
86	1	b-staggered	0.005	0.063	0.3037946270342218	1093.918497720169	-87375.68680955481	13605.314483610568	4084.04545463301	1.667942727550855E7	6240.274347260981	1873.2065410391647	3508902.745391912	1.013607e-03	converged
87	1	b-staggered	0.005	0.063	0.29237441159784794	1077.7205693804701	-89684.92111192126	13967.629551002057	3544.159146560358	1.2561064056147445E7	6406.455395364855	1625.5798740656303	2642509.92696723	6.333820e-04	converged
88	1	b-staggered	0.005	0.063	0.28327263533719815	1065.5465839773913	-91372.04965668583	14229.256913443083	3343.208482574996	1.1177042957961408E7	6526.454570712769	1533.4109444136536	2351349.1244475734	1.802477e-04	converged
89	1	b-staggered	0.005	0.063	0.27593722446181346	1055.664971257918	-92680.38708588573	14433.851548358618	3338.6628690631687	1.1146669753261108E7	6620.2948603575705	1531.326033004619	2344959.419357663	7.294111e-05	converged
90	1	b-staggered	0.005	0.063	0.27265647608146537	1051.3580739457336	-93234.92398394234	14520.460324685913	3397.4089718970276	1.1542387722326418E7	6660.019228788298	1558.2707830842496	2428207.8334140005	5.571151e-05	converged
91	1	b-staggered	0.005	0.063	0.2702790485782316	1047.3847686417353	-93740.75996338943	14599.28743694039	3484.872889706985	1.2144339057414712E7	6696.174424396812	1598.3873745292974	2554842.1990546607	6.023529e-05	converged
92	1	b-staggered	0.005	0.063	0.2668177338928217	1040.3647007006186	-94604.93656706988	14733.959530869155	3730.094056716994	1.3913601671955444E7	6757.943728887934	1710.86161095664	2927047.4518451495	5.681836e-05	converged
93	1	b-staggered	0.005	0.063	0.2655485313734971	1034.3493648233396	-95315.55384554135	14844.71209416303	4062.3477080210314	1.6502668900863728E7	6808.741994554536	1863.2545556044117	3471717.538980594	5.045774e-05	converged
94	1	b-staggered	0.005	0.063	0.27208689785038587	1025.5141524489554	-96294.12437464816	14997.276672861752	4887.82283500959	2.3890812066441186E7	6878.7179460770985	2241.8706666435214	5025984.085956668	5.294378e-05	converged
95	1	b-staggered	0.005	0.063	0.28528796035971027	1020.6467233795379	-96695.01187002982	15059.695785626309	5960.201667947565	3.552400392260493E7	6907.347375307324	2733.7327349396924	7473294.666080849	5.053995e-05	converged
96	1	b-staggered	0.005	0.063	3.745669e-01	1.022437e+03	-94324.34351027367	14878.386903255287	6658.961503386896	4.4341768303588666E7	6824.093250306285	3054.1868919576827	9328057.57100613	1.555901e-03	converged
97	-2	b-staggered	0.010	0.063	1.668001e+00	1.156154e+03	-9.603267e+04	14825.008435214677	2913.3288487944237	8487484.981217843	6799.720114876275	1336.2434740570804	1785546.6219601354	1.246155e-02	converged
98	1	b-staggered	0.010	0.063	1.024675712964381	1166.9820689876758	-128524.88588496466	20021.95858717206	5391.910518045609	2.907269903461087E7	9183.36100969673	2473.077776263022	6116113.687446053	1.086582e-03	converged
99	1	b-staggered	0.010	0.063	0.9840651554550277	1147.9224684237852	-133027.4979471183	20716.942918527344	4458.429419701218	1.987759289045734E7	9502.125629208396	2044.923163690945	4181710.745399784	1.202867e-03	converged
100	1	b-staggered	0.010	0.063	0.9442534226254793	1133.5880182496442	-136357.56574014027	21230.935901469675	3965.398781318767	1.572438749488436E7	9737.875947952667	1818.7875275894828	3307988.070515064	1.102501e-03	converged
101	1	b-staggered	0.010	0.063	0.9140852708515013	1121.633866504511	-139038.174170829	21646.613299140252	3744.782095716473	1.4023392944398662E7	9928.532400954517	1717.5984925693715	2950144.5816765777	9.364569e-04	converged
102	1	b-staggered	0.010	0.063	0.8962870467366884	1116.4005472405117	-140165.68401838804	21827.663896879076	3712.965639279772	1.3786113838472245E7	10011.573877282524	1703.0054144628798	2900227.441689885	3.567687e-04	converged
103	1	b-staggered	0.010	0.063	0.8858622374391416	1111.3811754971568	-141236.74407001756	21995.122304345183	3728.885405058975	1.3904586364061836E7	10088.381098872493	1710.3072453853472	2925150.873617614	3.894461e-05	converged
104	1	b-staggered	0.010	0.063	0.8717288072657539	1102.24269292022	-143175.66149230185	22297.065750572972	3858.9618727020375	1.4891586734968016E7	10226.871829394646	1769.9686993850428	3132789.19680278	4.246022e-05	converged
105	1	b-staggered	0.010	0.063	0.8662473547155969	1094.1166994732312	-144850.52339682454	22557.95442607403	4102.425145514144	1.6829892074546743E7	10346.532195289261	1881.6366522030232	3540556.490913801	3.873699e-05	converged
106	1	b-staggered	0.010	0.063	0.88878642693453	1081.278059427764	-147378.0464889788	22951.751945736916	4822.188049747328	2.325349758712593E7	10527.153125656407	2211.7663226937016	4891910.2662020195	4.223081e-05	converged
107	1	b-staggered	0.010	0.063	0.943841868735035	1072.5856227208296	-148897.47902013178	23188.517681752306	5893.399421303047	3.4732156739015095E7	10635.749156313914	2703.0929179345558	7306711.32298795	4.333318e-05	converged
108	1	b-staggered	0.010	0.063	1.593251e+00	1.060128e+03	-140478.08841048338	22265.272264154144	6892.715021036876	4.7509520361227386E7	10212.14834389262	3161.3998453774248	9994448.982352404	3.806717e-03	converged
109	-1	b-staggered	0.015	0.063	4.510367949893769	1149.0598933551469	-101302.80236670666	18659.6573278806	7481.255020060506	5.596917667518052E7	8558.40370632744	3431.3385058708045	1.1774083941871684E7	1.582688e-02	converged
110	1	b-staggered	0.015	0.063	2.1338975044345716	1229.098554326422	-161758.2855430601	25199.21015256146	6458.722366644735	4.171509460939697E7	11557.982351359575	2962.3864666418217	8775733.577742618	1.838269e-03	converged
111	1	b-staggered	0.015	0.063	2.0386592136346735	1209.4554604824255	-168214.09330642744	26203.943017980888	5220.632339816166	2.7255002027534418E7	12018.817617863679	2394.51856154304	5733719.14157415	1.180038e-03	converged
112	1	b-staggered	0.015	0.063	1.9476383322034962	1194.8950812202404	-172966.4892974486	26942.40028420702	4505.912884650742	2.030325092406157E7	12357.521727976726	2066.702141942461	4271257.743509555	8.002898e-04	converged
113	1	b-staggered	0.015	0.063	1.8901566664862912	1182.8144972740688	-176894.75656492196	27533.965689867262	4111.234416701524	1.690224842907112E7	12628.851760819078	1885.6771518970913	3555778.321186726	7.817228e-04	converged
114	1	b-staggered	0.015	0.063	1.85032337877783	1177.545687845975	-178496.90132974734	27792.947802719686	4009.7289805713717	1.6077926497633932E7	12747.637654168271	1839.120214903566	3382363.1648669387	1.347005e-04	converged
115	1	b-staggered	0.015	0.063	1.8264373250713106	1172.4119145221346	-180055.9668273274	28040.707946800332	3963.851112019891	1.5712115638261328E7	12861.276429166279	1818.0776666718614	3305406.402051	3.168818e-05	converged
116	1	b-staggered	0.015	0.063	1.8011985795019427	1163.0670509076128	-182915.1248050626	28485.546890392125	3978.7887507229125	1.5830759922879193E7	13065.308247152003	1824.929030800151	3330365.9674571785	3.260554e-05	converged
117	1	b-staggered	0.015	0.063	1.7884144595154794	1154.6642516237682	-185429.8109818834	28876.98994976049	4118.844647211134	1.6964881227859806E7	13244.849270237672	1889.1676942350136	3568954.576941238	3.082975e-05	converged
118	1	b-staggered	0.015	0.063	1.822071209186106	1140.8140279635754	-189430.55423335722	29499.917415036318	4652.591832908908	2.1646610763650674E7	13530.563965509713	2133.978563902518	4553864.511195454	2.961003e-05	converged
119	1	b-staggered	0.015	0.063	2.1708361636847258	1131.4431159442765	-152422.99461193828	30340.69048094984	6091.434756492112	3.710557739260011E7	13916.196697587204	2793.924689851348	7806015.172560952	1.076252e-02	converged
